matchId,seasonId,matchResult,matchEndType,systemPause,foul,injury,redCards,yellowCards,dribble,cornerKick,possession,offsideCount,averageRating,controller,shootTotal,effectiveShootTotal,shootOutScore,goalTotal,goalTotalDisplay,ownGoal,shootHeading,goalHeading,shootFreekick,goalFreekick,shootInPenalty,goalInPenalty,shootOutPenalty,goalOutPenalty,shootPenaltyKick,goalPenaltyKick,passTry,passSuccess,shortPassTry,shortPassSuccess,longPassTry,longPassSuccess,bouncingLobPassTry,bouncingLobPassSuccess,drivenGroundPassTry,drivenGroundPassSuccess,throughPassTry,throughPassSuccess,lobbedThroughPassTry,lobbedThroughPassSuccess,blockTry,blockSuccess,tackleTry,tackleSuccess,korea
626d398ed533b9397286739d,202205,승,0,1,0,0,0,0,106,2,59,0,4.3,gamepad,5,5,0,4,4,0,1,1,0,0,4,3,1,1,0,0,138,127,100,96,4,1,0,0,1,0,30,29,1,1,6,0,11,5,N
626d398ed533b9397286739d,202205,패,0,0,0,0,0,0,72,1,41,0,4.08333,gamepad,5,5,0,3,3,0,1,1,0,0,2,2,3,1,0,0,100,92,78,76,1,1,0,0,0,0,20,15,0,0,10,0,20,8,Y
627f28331fff6ec065702386,202205,패,2,1,1,0,0,0,10,0,37,0,3.33889,keyboard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,10,9,0,0,0,0,0,0,0,0,1,0,4,1,4,4,Y
627f28331fff6ec065702386,202205,승,1,1,0,0,0,0,23,0,63,0,4.36667,gamepad,3,2,0,2,3,0,0,0,0,0,1,0,1,1,1,1,31,29,24,24,0,0,0,0,1,1,5,4,0,0,0,0,1,1,N
627a27141bf0e7b0c886a092,202205,승,0,0,1,0,0,0,51,1,38,0,4.57778,gamepad,12,9,0,3,3,0,3,0,0,0,9,3,3,0,0,0,67,60,40,37,5,5,2,2,1,1,19,15,0,0,4,0,8,6,Y
627a27141bf0e7b0c886a092,202205,패,0,0,0,0,0,0,107,0,62,0,3.60556,gamepad,3,3,0,0,0,0,0,0,1,0,1,0,2,0,0,0,167,160,150,144,9,8,0,0,0,0,6,6,2,2,7,0,0,0,N
626d20f02646733ea3f9ba63,202205,무,0,0,0,0,0,0,104,0,58,0,4.10556,gamepad,4,3,0,2,2,0,1,0,0,0,4,2,0,0,0,0,154,146,89,87,8,6,0,0,15,14,36,36,3,3,13,1,6,3,N
626d20f02646733ea3f9ba63,202205,무,0,0,0,1,0,0,58,2,42,0,3.97222,gamepad,8,4,0,2,2,0,0,0,0,0,7,2,1,0,0,0,93,84,80,72,1,1,0,0,1,1,10,9,1,1,4,0,24,9,N
62819c797eb9383273c510d4,202205,승,0,0,1,2,0,0,94,4,52,1,4.47778,gamepad,8,5,0,2,2,0,2,1,0,0,6,2,2,0,0,0,119,111,88,84,6,4,2,2,3,2,18,18,1,1,4,0,8,3,N
62819c797eb9383273c510d4,202205,패,0,0,2,0,0,1,60,0,48,0,3.33333,gamepad,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,88,77,65,60,2,1,0,0,3,2,15,12,3,2,9,2,9,2,Y
